 thêi gian 	2019-09-16_15:54	2019-09-16_15:54	2019-09-16_15:56	2019-09-16_15:57	2019-09-17_22:55	2019-09-18_11:29	2019-09-22_14:05	2019-09-22_16:41	2019-09-22_19:27	2019-09-24_08:02	2019-09-24_13:16	2019-09-26_09:13	2019-09-26_14:28	2019-09-26_23:21	2019-09-28_17:50	2019-09-28_18:00	2019-09-28_21:21
CÊp 34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CÊp 65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
